Age,Occupation,purchase1,purchase2,purchase3,purchase4,purchase5
52,20,1989,7012,86,4709,6124
53,2,3202,7129,1761,17531,11642
67,19,3137,9071,2090,19316,3805
29,1,4529,2465,375,9250,11205
17,1,4945,175,2083,3641,3165
52,1,4868,2720,2386,23996,6170
65,11,2488,2243,324,3517,9182
59,17,1867,5585,2017,18722,10301
47,7,54,8014,950,19752,4125
53,5,286,3994,951,6200,7640
59,20,3459,8925,731,15165,7797
31,1,2324,8588,1013,21931,6107
69,13,958,2138,641,7366,7042
47,4,4637,3066,2029,874,1991
56,16,2511,9103,424,5349,8763
49,18,3155,8338,2018,5918,10289
23,15,2062,4052,1440,22760,11623
45,18,1890,2962,1669,8492,12065
63,3,3462,4464,326,313,1969
33,9,1627,9002,1577,12820,13441
24,3,4129,4721,2292,9380,12066
36,18,100,2389,1587,14611,9588
31,3,3490,5851,1450,12405,6780
42,7,895,3353,2038,13466,12494
18,16,4481,1755,2481,11833,13089
49,1,2558,4669,1775,9416,5209
60,4,541,4531,1891,4365,8048
62,3,695,8486,1182,8286,5544
28,3,4095,4746,1191,11651,5395
16,16,2986,7096,1926,23951,12762
33,14,4718,952,2346,9276,5659
18,14,3813,3278,152,22392,808
20,6,4917,3645,1740,12285,13535
52,20,3647,4554,279,2413,4564
70,9,922,5417,385,12717,2474
24,1,434,530,1143,11216,578
61,19,1379,9754,1977,22734,11779
67,15,1128,5998,405,21785,2479
44,7,4564,8273,1887,16505,6489
66,5,4462,1025,1500,17281,12480
22,8,867,1017,1568,24224,8145
66,3,2834,6104,1319,5112,641
19,1,1279,455,578,1060,10023
38,14,1020,1975,910,23782,14354
33,18,1181,3247,556,13167,8284
50,9,1870,7479,1794,15870,5075
37,19,1180,2316,1498,11043,2397
62,14,4960,5982,669,8707,4701
34,5,4695,7704,570,14611,10433
54,1,4628,2436,663,14117,14530
46,10,2569,5915,563,10359,14603
21,14,1866,2885,133,7536,4946
17,11,1961,2166,659,5977,6842
30,9,3552,8345,1003,5409,1528
50,12,3574,3519,2263,4364,14644
44,19,1002,4943,1264,17296,13988
29,11,2479,2546,1271,19373,11157
28,9,91,1643,2408,2493,8074
27,8,777,6428,1883,15157,882
36,8,4554,9142,1629,2487,8801
24,2,2043,3848,1837,19464,9274
48,20,183,6922,493,4825,14853
52,13,969,4024,70,14655,14153
18,5,3386,1008,28,7630,7158
62,8,1878,202,1707,5375,10206
49,3,4637,1535,994,12956,6941
33,3,3828,4228,1198,1125,9583
47,6,4728,9321,1242,2196,5077
24,15,2089,7630,1948,10669,5357
43,13,2763,6200,1717,13880,7042
59,14,3297,6532,115,20177,14973
17,10,3542,9578,551,24200,13092
20,3,201,4000,1808,9275,9605
38,17,3330,6524,1709,10527,12777
25,19,4949,4925,1121,8885,14459
50,19,2990,6507,1291,2032,12864
26,14,2480,9303,360,16484,2349
52,9,4700,7803,2411,8332,2934
33,1,2933,656,2293,3978,7353
17,10,1644,4478,1703,15112,134
43,3,2473,4844,2001,1336,8096
43,3,2913,7945,1932,11334,10994
25,12,1068,4841,1114,11010,14874
70,12,3888,3070,1613,9226,9029
17,13,1728,4121,2331,4366,7460
52,19,4574,7254,594,1089,7749
46,5,2769,4627,716,2808,2505
63,5,3965,2910,666,12273,13702
47,12,4110,2895,408,23315,10601
52,12,3785,6200,2231,18375,4611
19,3,2411,5599,1644,8769,14108
17,2,4514,4242,2053,3454,7709
26,4,1326,9151,2483,3747,7819
55,17,1962,2654,870,11418,3045
37,3,2457,8036,59,19396,5827
54,9,3688,4866,440,23285,1143
40,3,3932,5383,2453,108,6396
69,6,619,2338,943,7625,8762
20,7,310,1919,1958,11339,12989
65,7,2179,6998,2453,21202,11612
17,11,1482,8610,1274,22273,3956
26,16,4470,7683,389,18018,19
55,6,1652,8374,1246,1567,13115
23,15,3898,5523,760,11468,2511
16,3,4065,6862,1865,13289,1627
65,1,1538,2885,1186,8031,2200
35,19,2150,9089,488,4968,10433
24,10,3074,4007,206,7411,8602
70,9,1923,3363,624,4502,1249
62,6,1032,9382,1253,8791,9639
36,10,2873,8352,143,16294,8189
70,8,4681,1809,206,14460,7435
61,15,3108,6834,33,686,5719
57,5,569,3536,907,8105,256
65,6,3507,6365,714,22134,8621
68,15,1681,6736,2427,21837,2306
30,16,3435,5112,1571,8838,12313
32,7,4858,8216,1550,2234,1137
37,13,2849,6743,1019,8654,2542
48,15,1444,2874,1372,17258,13440
48,13,425,5126,1700,11540,1304
29,13,4503,2427,846,13920,6456
45,18,3683,3,1169,23267,8479
53,4,4707,8532,153,5176,12119
26,17,2826,6337,438,9567,13718
29,14,958,9476,972,1991,9777
20,14,4928,6226,1915,2343,6396
16,16,755,5715,1922,3056,602
22,2,4670,8215,2189,19552,9044
46,7,878,824,986,5396,12723
59,19,2487,3152,239,13246,733
24,1,1945,5983,541,7937,4574
57,20,2889,3916,243,23028,6221
49,2,1284,5309,2266,9617,786
64,10,412,8458,177,11963,3147
17,6,2525,2344,1780,13698,7355
53,20,893,7649,2176,4950,207
41,10,2100,7074,287,10454,10883
65,20,4537,5152,2333,2541,5215
64,16,2572,9055,940,22168,5325
21,11,954,2768,623,4474,5016
54,12,2807,8653,206,13533,28
35,15,200,4926,372,4021,9227
58,1,4738,2594,689,822,1770
67,6,3622,8205,807,19674,6642
32,6,4495,1594,1355,2340,14499
45,18,3472,8643,135,5513,6428
30,16,3067,4726,1708,19357,11561
33,18,669,8395,1304,9393,6814
19,15,57,4761,1195,1304,11568
24,6,1237,9449,2055,21749,2763
19,14,3030,4652,1428,12067,1139
64,20,1265,6668,2059,2682,8946
59,8,3808,8574,1164,3088,4531
42,5,5000,3951,452,12806,2431
38,5,2988,3115,702,15590,5771
30,10,769,2271,2281,16271,9934
17,5,3709,3292,1982,17301,4302
45,20,1555,9998,1360,19687,1498
54,15,4605,4089,409,13047,3952
26,1,3418,9507,767,10957,1161
49,4,3108,8598,1222,16110,13732
28,19,2096,8292,710,17152,11988
36,19,4096,6620,1553,11952,6972
37,14,1466,1616,1448,4403,10719
44,19,4186,8078,1680,13091,14930
41,7,4321,1445,1977,14710,1788
27,2,1769,4274,1886,10265,10137
52,18,2601,4527,2259,14161,10333
57,7,4380,2047,30,19575,7435
59,4,2998,8214,2024,5690,7283
64,4,4324,4183,262,14236,13204
26,15,866,2784,750,22619,4037
33,18,3330,3023,1164,21629,11989
63,8,2820,5654,2007,13960,12297
36,6,4456,7473,1013,20256,6465
33,12,1421,6697,1392,23933,8719
29,8,337,7733,526,1621,10270
58,8,3066,108,1749,12264,11040
33,17,2822,1060,881,17363,8651
44,3,2685,1461,1881,2323,14680
41,7,3819,1718,2024,3938,823
61,8,3141,8817,2016,1421,2240
20,2,779,7951,715,3791,12454
39,20,2820,8754,262,14437,5388
54,13,2049,529,85,3045,5801
28,20,2589,8459,1091,15691,12517
50,13,2714,7908,1024,4563,11957
52,12,1600,9340,465,3311,8714
19,15,2370,6737,788,3139,9100
68,18,4496,9364,2459,18830,6289
32,5,3620,2425,1517,8472,5544
40,16,4852,2077,336,14066,12782
23,15,1078,342,784,21354,5072
57,17,4403,8183,2449,8219,7652
28,10,2376,4670,3,22146,2125
42,20,3625,1268,1473,20161,3477
41,12,818,2972,2233,2578,10431
16,4,4960,7988,482,9728,4213
43,1,4860,8120,551,1859,12145
21,14,4542,8866,747,24509,7859
43,7,3124,6049,1294,1894,9852
57,14,2986,66,1343,15448,11232
42,2,912,9142,603,9000,6251
52,3,3604,3778,2096,18778,8446
30,20,3061,6169,2009,10447,7962
38,8,782,4772,2412,937,14269
49,7,156,708,756,9436,204
39,12,4548,2007,147,1602,12358
33,5,4446,2425,620,567,11892
59,15,4488,9045,1124,6269,11578
59,5,4918,9325,1525,22356,2644
69,13,4829,4179,946,648,2424
59,12,655,2092,2408,2268,13099
25,16,4374,7126,2236,9215,9289
46,11,2717,1423,1740,24382,8653
50,7,4563,2766,1943,857,12565
54,5,2898,5844,79,5475,14989
28,10,4921,6185,516,17444,9831
48,12,563,4482,1209,21684,14372
32,20,3100,65,1153,4599,10337
28,10,1916,837,592,13830,9220
19,13,4709,7450,2164,22162,4144
51,7,1303,5509,2180,20272,12810
67,3,4398,3737,1128,1861,9270
58,13,1842,595,114,4265,7358
56,19,4093,2876,1052,1918,4389
47,18,2708,7380,1438,5966,7271
27,16,4884,260,968,5546,6595
25,9,1563,624,1410,14276,11318
67,9,4213,8633,1026,5543,11138
22,5,2604,4021,320,10962,3287
58,17,4229,5753,1691,4902,5559
67,15,646,3574,39,18276,1540
19,17,1578,9760,1824,15572,7206
17,5,2867,7108,721,7222,996
30,20,4079,1035,1130,8042,9677
48,3,4787,6634,66,16146,9030
68,10,3996,9137,1342,21512,14565
29,10,3034,6792,2490,23211,14423
59,18,1583,2954,439,14362,8471
48,12,4750,8754,703,8277,13046
54,16,1441,2592,1670,5296,8484
17,20,3588,3688,2261,17914,626
39,10,3168,2745,1437,8315,14385
26,16,1038,9418,2128,6312,8566
60,19,1575,5091,364,23079,7056
26,7,4570,8576,2240,10491,9747
42,13,338,2013,2291,22019,9027
41,16,887,814,1124,16800,4580
28,4,1012,572,2030,12865,8891
40,8,2845,7089,1650,14409,6897
30,5,3610,4736,1907,19330,2170
23,9,1411,7785,1133,21293,11102
18,4,4851,8275,1553,5309,4
52,20,3297,1023,357,8947,4186
52,7,3876,2555,1247,22268,2473
47,5,2529,7262,787,1380,3145
30,10,1754,9635,433,3171,3908
22,13,2648,4515,1412,887,4134
37,2,4428,1268,1429,6691,12556
61,19,2482,1890,973,6056,3947
66,15,1701,4427,1142,12516,8193
33,8,203,3535,1432,8454,7422
62,7,2458,2988,529,24354,8851
39,14,2162,3578,285,699,10343
22,4,1771,3578,2182,12765,5280
53,6,1617,2432,1471,22181,2049
52,20,1955,76,312,12714,11207
27,9,1908,6358,1167,11053,12138
63,16,2318,4694,664,18023,5279
21,14,809,3238,2404,2313,480
70,6,155,1897,1042,8087,10973
17,17,736,2612,2058,13872,10040
51,20,3546,1654,2240,6625,6954
31,20,4719,6490,704,3545,10649
54,9,2412,9248,2137,8316,14048
24,4,1655,2791,2214,15231,11649
27,12,2626,530,1363,18657,1901
45,17,4213,7424,238,22509,1765
25,10,513,7132,618,7206,10361
27,18,3264,2156,1149,9966,13694
35,17,1410,2438,391,23540,1026
31,8,152,3392,2470,21212,2672
43,5,298,7033,40,13941,631
31,2,784,5609,798,9326,4628
56,16,2103,1157,2276,12271,5999
59,17,4423,7607,508,23185,14552
20,10,3058,6334,336,16925,9900
19,17,1462,4149,1185,15892,14104
68,2,2315,2176,189,2462,9063
62,7,1753,9552,1374,19773,877
33,8,4905,4581,1322,18305,13431
49,1,972,6417,905,17116,11883
55,17,1595,5007,2490,13715,14608
55,19,1823,4763,1744,24471,11844
33,15,1903,9275,760,7808,10653
66,8,1554,3897,1244,19348,13039
34,18,2977,8761,320,21576,11550
43,16,892,4227,2167,2321,9269
67,16,1670,2476,2117,15015,4197
21,9,1832,3484,308,16290,753
37,16,1722,7508,174,4236,1390
49,18,3927,1162,682,24432,5234
56,14,4618,4674,1997,12220,8933
42,18,80,6484,1764,9519,6412
46,17,4375,6467,1740,23632,11536
31,2,33,5736,1491,13313,5152
61,2,989,8297,757,21360,8105
60,14,44,6727,2157,6533,694
56,18,3204,391,1712,1740,10247
31,16,3089,21,2070,2184,10591
69,2,2334,653,2213,20200,10919
41,15,1951,7798,2012,16724,13437
33,16,605,1679,2476,10860,7434
54,5,4072,5154,893,5319,2772
48,6,4152,4162,340,19200,802
25,5,2236,8422,1749,11906,5482
38,5,4271,5586,1892,5885,12222
56,6,510,2176,695,668,7040
34,15,804,3385,333,10584,10921
57,6,1002,8924,1256,19370,6066
29,4,402,3967,1312,12641,2049
52,15,2626,7878,1150,11406,369
20,17,1640,1829,783,3921,12473
67,4,434,6848,135,456,4858
58,20,702,2326,669,1012,4939
43,2,583,8163,373,13050,14815
29,19,1876,6640,2341,12697,9003
64,19,266,9801,1465,20669,448
59,12,4431,9202,1401,13236,10090
51,15,3976,3625,1157,5745,6230
34,20,1210,1098,1430,15645,5541
49,16,1269,735,39,16988,8491
20,9,3086,9624,850,11084,8097
65,14,735,9227,1824,11315,8640
39,15,982,7894,368,3478,7198
43,4,2688,1193,182,24990,13457
33,8,3453,8747,2280,22331,5966
64,19,3423,2368,662,2289,6621
55,7,400,9463,860,24704,9317
54,1,507,3356,1736,20388,14941
57,2,3675,7852,132,20589,6430
50,13,4297,5977,34,6201,11868
65,16,2540,3278,1641,8773,12284
46,2,4949,5466,1944,22904,5501
37,18,1437,4497,2374,2978,5158
31,6,4725,8024,300,11265,12330
66,8,1309,4136,6,2945,3062
37,15,1953,8698,1154,2887,12945
43,10,3503,3285,990,5028,7933
18,1,282,725,895,7182,7457
66,1,2723,3586,2499,14827,914
48,18,2111,8579,2289,8911,5400
37,3,3161,7280,979,1288,158
40,17,829,4666,2066,18926,12685
57,2,3890,8811,2446,21277,3431
38,18,2506,4492,1134,13099,7359
58,13,214,396,2408,1760,13526
49,13,4268,1624,1074,2767,2813
23,15,2596,5993,711,9085,191
17,9,3800,5635,1025,9477,12156
49,6,1317,5151,1009,17024,6028
55,13,143,3721,1945,24613,310
46,17,265,6432,2274,2155,10766
48,5,2168,5834,648,2975,13119
25,9,2740,2729,1449,11907,6420
62,12,2221,8539,2500,12838,9025
37,14,1841,4782,953,1719,10607
17,6,1026,5833,1042,3887,12206
60,7,3940,2322,2310,972,13299
41,9,2659,4806,2409,16451,5015
55,2,3580,2501,1038,885,9496
70,2,2023,2707,62,5259,5837
57,20,3050,6902,1398,19683,4900
18,14,2843,1715,2349,2853,14661
17,12,1923,7478,169,79,6757
32,18,3426,8019,316,7230,10829
39,13,3887,629,597,20411,8383
25,15,2549,8277,63,9513,10225
63,18,3671,0,1764,22610,1488
62,6,3280,2157,1305,6002,14501
51,18,1732,1788,401,8698,3241
50,20,1678,329,1,18035,10469
32,19,1620,5849,137,11609,12360
28,1,4624,2268,1489,13768,6822
51,14,247,8481,2311,2775,13666
30,20,4984,7383,104,7933,750
25,19,700,2016,89,17456,6156
25,20,2084,7086,2494,4687,11837
43,11,2354,7888,563,1705,12260
61,16,2726,1863,1739,18468,7325
50,9,21,2719,1131,22595,14618
67,2,2735,4095,273,19351,11280
34,3,3259,5300,654,20011,2978
22,8,3480,8655,739,24313,14716
42,4,2421,7722,607,16953,3800
51,19,207,605,902,4120,4223
57,17,4381,7822,2166,10228,12244
53,2,4698,922,1855,4062,14357
70,9,1500,4533,675,17541,8009
51,12,4294,9752,899,18456,4939
16,4,3083,9805,1568,17224,12452
32,5,2805,6782,800,13335,13131
29,20,551,6308,2186,12332,3373
42,16,3484,875,555,23927,8290
40,13,3224,6653,649,171,394
68,15,3389,4416,2206,22950,12144
22,4,3650,5555,1344,12558,11829
25,10,183,4327,386,10998,8278
23,14,1539,515,2398,10909,7895
42,12,719,8891,508,1378,11128
61,1,4214,298,2255,13942,44
40,8,20,4246,936,1787,7003
67,18,3682,145,434,4,5199
29,10,1887,1322,1678,5513,11330
27,16,2497,5647,517,10042,971
33,14,3354,2167,2253,2848,12687
46,8,2838,1616,2454,7420,8823
47,3,3392,9567,1463,1601,12899
44,15,1428,8498,2064,18270,3481
36,17,561,4533,1767,12762,10039
18,14,4672,8344,1625,22987,2747
27,5,167,4114,427,8763,2131
46,1,676,8014,342,7300,11467
66,16,2908,5557,214,7980,6734
30,18,3477,133,180,2416,2748
46,3,4780,6434,1274,22780,12454
20,17,1665,8658,224,9001,5853
48,4,2666,5900,563,16726,9232
48,6,2251,7533,1837,17874,6344
51,5,818,5314,135,20733,12531
22,1,1264,7782,1649,10642,9408
52,19,1431,4387,856,14927,9964
47,19,898,9101,456,22356,4887
25,1,3762,2322,230,8583,13149
62,4,3252,634,2021,18620,13070
41,8,107,2790,1292,20881,13592
38,13,213,1398,1799,20765,3832
65,20,2243,5349,774,3493,8214
45,20,1716,2950,2356,3056,14986
36,5,3063,4465,1833,2672,9487
55,16,878,6172,2058,4210,5014
37,12,726,5908,1011,23445,7905
63,8,2453,3349,1326,14533,14610
28,4,152,1676,1115,9817,9126
41,19,4183,5734,1468,5665,3466
36,12,3233,1866,2286,22493,169
16,20,2539,9566,1620,2493,11943
66,9,3542,8270,690,10971,1653
21,16,3494,4137,474,17491,4316
17,8,693,9875,255,3543,1182
16,7,4808,4758,301,24743,10238
62,16,878,8403,698,21058,6583
32,15,2846,2506,840,22250,2436
67,11,1356,1833,968,7939,6278
66,20,374,7841,2460,14151,10655
64,17,1732,2390,205,10053,751
25,1,700,3719,331,5317,11248
39,12,533,6702,501,23250,345
36,17,3778,2684,1891,19456,13097
61,15,169,7935,1549,12967,3435
62,9,2061,4253,1505,15974,14588
28,2,3464,6532,562,14241,504
46,4,1101,7440,2238,22538,14737
45,11,3035,1412,2455,14998,14180
56,4,2954,9704,233,1321,10468
19,15,2634,467,259,17829,9841
43,8,3369,4551,1443,15013,11043
23,12,2120,9013,146,22517,10081
46,6,4597,3164,943,21638,1126
35,1,4963,2892,2139,5073,12983
67,6,3998,7713,2325,16200,12727
67,15,2868,2674,2248,20567,8636
65,13,4424,258,445,20685,6412
49,19,982,9262,2038,6480,11377
60,14,2,2217,295,21005,11537
55,18,1359,4198,40,2591,1928
69,9,2416,4711,585,8072,156
58,18,494,4009,1037,15785,12748
65,8,2556,8302,1437,21657,6906
31,6,4681,6085,344,8549,8878
56,8,4277,7086,1921,20312,2501
30,18,460,6455,1286,6483,9181
24,9,4383,848,1135,19048,9894
39,20,1837,3948,2242,17576,5850
61,10,2712,7513,791,6558,11166
18,3,374,2714,523,5112,12141
37,8,2321,7812,1039,18240,12286
53,1,1817,2524,1614,11698,12989
69,2,1828,644,2113,1293,9779
67,16,2188,6823,250,13947,648
62,8,3935,1893,1475,23252,2902
27,15,2434,1879,473,1437,3158
28,20,3799,3575,746,3627,3481
44,4,4620,6764,334,20996,7400
49,13,3214,226,1058,7231,3678
66,4,2878,5567,2,12802,3719
65,20,2248,4652,595,14884,1417
16,18,1434,9124,422,4594,2567
59,16,561,5221,395,338,3852
24,5,2094,8628,1207,16594,943
66,17,3260,2557,1784,3765,7513
48,3,54,9089,783,11621,10148
59,2,1661,2321,70,6183,5431
52,18,1464,8767,1505,23235,12942
21,18,3767,1873,2208,23166,3759
49,14,2685,7260,1697,4228,5885
66,12,4711,7595,294,4519,9107
70,13,4877,2026,1625,211,8119
62,4,1306,7427,1360,12576,12625
23,6,4981,1453,2442,10019,3730
59,5,696,6818,1300,18541,4859
23,4,294,7696,424,22675,11844
16,2,3768,5816,1517,24894,11044
64,9,3308,4344,2475,4648,12171
36,11,2285,4163,2419,16945,7604
63,17,3088,4769,2424,23923,9411
19,11,1891,5223,379,24774,3265
51,17,3150,2677,873,23423,6818
36,11,1429,2357,2222,3362,3283
27,9,2519,3944,809,6025,459
34,17,2297,661,1840,16054,620
65,5,463,5170,1182,23779,9934
38,1,3844,8182,387,18433,8665
68,13,1082,8808,1408,2498,9632
37,10,773,7705,1554,5569,6523
34,2,4169,1434,103,12288,12062
65,10,2943,3599,378,21072,734
30,7,1862,2832,1165,23103,5006
22,9,1585,9432,1985,17573,4162
21,9,2955,7291,740,20842,7149
63,19,826,2523,1900,12053,21
41,5,1500,3511,2444,16086,4217
16,3,4060,5861,269,5861,12391
62,11,1792,8440,938,13596,14618
39,11,4459,6770,931,22728,12811
20,7,3331,7400,43,7310,10914
17,3,724,2012,2011,2270,7794
29,10,4507,7307,2036,10958,14021
29,3,4322,7423,1464,15726,13443
38,15,476,491,2322,8833,138
54,11,2508,8744,1307,22465,2258
33,4,3627,1069,498,563,770
54,11,2469,5188,655,20193,2243
62,6,1837,2795,50,2883,6314
36,11,654,6198,2476,19121,2519
63,5,3415,7003,364,6677,4671
17,13,4825,1193,926,9285,1022
48,3,1693,4485,1646,22469,5037
67,1,4731,9625,1048,749,3180
40,9,1622,3301,338,19197,2261
29,8,4546,5405,2006,20757,7049
23,20,358,7370,2079,23358,13057
39,12,1968,3802,2379,200,11898
23,18,2232,6990,1828,6301,6725
45,8,866,8244,189,11307,3921
68,9,3531,1220,703,20053,11171
64,6,4335,713,653,7182,6204
23,2,153,2507,259,18724,504
47,8,2307,4662,1378,13345,12679
50,19,3933,61,252,2299,4491
38,15,2617,7813,1733,3103,14929
33,2,3180,1098,1311,13390,12159
64,1,258,6470,1480,12534,10040
21,8,3095,4256,804,5891,3709
66,10,4593,8426,1566,22745,6763
55,13,1689,9094,171,15142,8989
39,19,4960,3430,123,2934,1095
20,8,2900,9013,212,5889,772
24,10,2331,4090,1935,18462,6820
19,10,4420,2685,2072,2058,439
19,11,2660,82,1373,5916,1300
48,13,2704,448,2467,9884,1382
56,7,1400,1771,1389,8514,11125
27,20,540,5881,785,3989,3573
16,6,4723,2733,251,16334,6619
52,6,2245,4299,1385,18443,11516
60,7,4983,2281,67,21257,13470
27,3,3754,7817,983,10356,10065
18,17,2358,9692,159,8619,1982
32,10,80,7850,239,15079,10383
40,11,3007,5417,738,3359,12286
34,17,4782,5783,1869,6075,1241
45,17,1630,5237,1345,9436,5021
35,20,3429,1355,727,24499,2726
38,8,1358,9355,768,7507,12494
69,7,1947,6446,2236,20486,1945
60,3,3642,4152,117,6335,7016
69,19,4328,9793,2395,19185,4160
60,2,1382,6338,2390,3836,7994
62,19,4796,836,2452,10763,9759
25,4,1366,3998,1305,20702,8536
64,18,697,8222,2122,15602,10591
56,17,495,8092,1895,14709,5462
65,4,1646,6748,1948,4011,1646
58,13,3840,2755,474,19082,5259
18,7,4795,706,1777,24662,8659
39,13,3920,7674,867,1606,12722
69,5,4939,4338,1451,12187,9234
50,4,1389,9010,1247,7245,5483
48,12,4157,8088,868,15741,8515
19,4,551,9175,419,20297,2193
24,10,2764,160,2406,14651,10993
56,2,44,9406,258,23296,13710
69,4,4142,1502,1015,5220,206
40,3,2975,8559,1195,3645,9493
27,14,445,3796,1022,9761,8115
48,17,3810,6001,1260,19423,6112
48,2,3331,740,1171,18650,9930
63,5,2823,7809,1635,20600,11863
28,9,2779,3948,913,16034,3002
70,3,597,6349,1287,5578,2668
24,19,2341,2363,2181,23206,3670
41,8,3368,2347,2422,14100,10362
68,15,4654,9158,870,9930,2046
44,10,1285,8467,1865,4494,7405
43,8,1713,6378,855,8071,7099
50,17,4721,9438,911,8691,11142
55,9,3376,5293,1626,19374,4890
32,10,1795,1072,1855,9372,5861
46,17,783,3576,2487,7139,6608
17,1,4277,4344,2231,7449,3590
28,8,4659,743,2047,18745,5438
47,8,1238,3086,2300,13523,6818
64,9,2941,7246,1792,24030,4801
32,20,4431,363,904,14520,9345
30,17,2906,562,1809,9621,13992
57,10,1809,2897,2405,12690,13430
52,18,2095,7264,1506,12819,11019
56,8,769,4332,43,18712,2869
53,13,1252,9623,318,6068,8866
19,17,4136,8795,1994,2760,5295
41,17,2804,6976,1299,18681,1250
24,13,2091,1703,960,4360,4820
55,18,4553,3183,546,10146,10038
17,7,1985,9116,1032,10882,4971
29,14,3488,3596,1343,9552,13880
16,15,2271,7948,523,12244,13878
65,9,1346,4679,2182,18383,1315
18,15,2536,5124,360,12209,2590
19,14,3221,275,58,2061,8944
23,11,86,6760,1965,2741,3765
17,7,1900,8349,163,16983,10904
56,11,1908,8935,1070,17571,4190
48,2,2597,7260,2328,21822,3091
31,18,2408,7192,2313,10451,8164
22,3,4670,7339,1131,13629,3932
52,7,1920,7176,1321,18553,10029
66,13,540,7781,1718,16542,12044
33,18,1906,5248,1584,6351,10677
40,10,2868,55,1569,19769,12571
22,15,1628,8084,2023,5745,9826
28,15,329,1399,332,16376,1024
17,10,3930,5120,368,23985,3356
28,1,4152,3675,19,11078,12909
46,6,382,5193,1077,17123,836
36,1,1778,2838,708,12749,4198
61,2,246,7074,1451,19082,8047
54,10,89,1866,612,8358,6883
41,6,4545,4134,1692,6669,3723
45,18,2496,7178,1171,12463,9653
47,5,4607,3325,1656,3919,13436
69,16,3186,1294,357,16520,1824
31,20,2831,1076,1448,10153,5317
65,3,4262,3284,1422,8491,4517
35,9,3740,9213,2124,1316,13329
67,19,2242,9085,1682,17906,6375
49,7,1841,1178,1387,6565,5916
68,12,2267,6558,1296,22920,11914
55,13,168,9694,1147,18743,569
63,8,168,8401,1488,3257,13795
65,2,1229,804,868,16252,1898
21,1,2853,5451,1916,1672,13163
32,14,4663,7706,617,2220,14952
20,7,2912,5741,392,10836,13215
69,16,748,3053,269,2810,5851
37,17,394,518,1787,14770,10402
67,6,3449,9027,761,13770,11698
52,11,449,7212,539,22202,4977
18,13,581,3839,1631,7354,9368
38,3,1579,6906,2408,11443,14470
24,12,795,6168,923,5272,6213
36,2,2302,1792,2488,8480,8779
37,14,4779,6225,2147,1180,14514
37,13,2635,7703,1871,7630,11534
64,2,4600,2729,1702,2352,8058
44,6,1000,1210,2191,8133,10598
47,16,822,6307,220,13921,13449
37,12,2066,6598,858,21115,13413
43,10,334,986,52,6833,11382
24,20,3260,1130,1858,6411,4028
67,2,159,4812,1738,16339,7628
62,4,3921,2175,1177,18766,12328
